x,y,z
-0.321225,3.294283,-2.578043
-0.325282,3.246208,-2.626758
-0.337048,3.221426,-2.639312
-0.322937,3.259591,-2.589263
-0.334543,3.191967,-2.609148
-0.325173,3.252928,-2.586738
-0.335647,3.240777,-2.605349
-0.339465,3.255363,-2.600830
-0.291275,3.464646,-2.516213
-0.255857,3.516387,-2.458523
-0.244214,3.575226,-2.382905
-0.237327,3.616360,-2.370568
-0.242730,3.571683,-2.354469
-0.263923,3.438624,-2.380650
-0.309359,3.339880,-2.420340
-0.302758,3.342100,-2.403110
-0.277154,3.380559,-2.362393
-0.280353,3.351611,-2.363157
-0.264029,3.520998,-2.350763
-0.243806,3.568964,-2.316642
-0.221977,3.763079,-2.334112
-0.204661,3.747105,-2.315528
-0.190274,3.830880,-2.326087
-0.176993,4.029254,-2.325246
-0.156321,4.007730,-2.277981
-0.149856,4.038611,-2.271006
-0.112079,4.222926,-2.241777
-0.102314,4.272390,-2.221456
-0.121636,4.254805,-2.216105
-0.072325,4.425993,-2.210065
-0.114615,4.255936,-2.187556
-0.029700,4.613513,-2.199324
-0.049301,4.519970,-2.198343
-0.027689,4.666944,-2.269519
-0.013736,4.706322,-2.269182
0.021241,4.896807,-2.225978
0.023917,4.876646,-2.224149
0.050525,5.021975,-2.203950
0.046506,5.019076,-2.196501
0.082042,5.146458,-2.192281
0.072119,5.091144,-2.190914
0.119920,5.314751,-2.176175
0.104319,5.129604,-2.192926
0.138663,5.369598,-2.204927
0.107334,5.268333,-2.173548
0.134637,5.434218,-2.229961
0.137121,5.464296,-2.234707
0.143506,5.613950,-2.239058
0.161213,5.650600,-2.231365
0.180680,5.704610,-2.227853
0.286817,6.109986,-2.255188
0.258373,6.058785,-2.258743
0.261388,6.058257,-2.250985
0.311584,6.286613,-2.316480
0.367002,6.389517,-2.246820
0.367727,6.399219,-2.260578
0.405057,6.700667,-2.339309
0.370520,6.391860,-2.304556
0.344676,6.281950,-2.274601
0.362266,6.387409,-2.299054
0.395804,6.509040,-2.322160
0.404206,6.502934,-2.332109
0.376410,6.497300,-2.318689
0.401630,6.595185,-2.366279
0.401208,6.893197,-2.485834
0.328933,6.532639,-2.410039
0.441992,7.161671,-2.630662
0.424504,6.981054,-2.578345
0.419366,7.025554,-2.607327
0.396495,6.941724,-2.605306
0.434502,7.102365,-2.650144
0.452881,7.138963,-2.675604
0.452858,7.159772,-2.688763
0.443879,7.026305,-2.645893
0.446922,7.028441,-2.647735
0.448139,7.287351,-2.845026
0.416940,7.174681,-2.836212
0.434453,7.197704,-2.866200
0.461646,7.258836,-2.923045
0.474843,7.233328,-2.898088
0.472653,7.293354,-2.928226
0.497319,7.306109,-2.968609
0.499517,7.396296,-3.018470
0.536270,7.483720,-3.105868
0.534493,7.512993,-3.121644
0.503504,7.579232,-3.216873
0.512252,7.699402,-3.240661
0.519868,7.748884,-3.289022
0.568921,7.839437,-3.364086
0.566353,7.827925,-3.407215
0.563414,7.898926,-3.438507
0.584066,7.938070,-3.460428
0.587434,8.035691,-3.524158
0.588013,8.044354,-3.563807
0.609861,8.083260,-3.636955
0.601433,8.072692,-3.658535
0.596462,8.078902,-3.649903
0.579381,8.110085,-3.698450
0.574555,8.162398,-3.730456
0.562496,8.207592,-3.758152
0.554083,8.272833,-3.774790
0.541507,8.275048,-3.779725
0.573201,8.195281,-3.819910
0.571426,8.187800,-3.849601
0.573505,8.191316,-3.867987
0.575797,8.217963,-3.945038
0.566821,8.232351,-3.951441
0.559312,8.246754,-3.955077
0.575054,8.253035,-4.027866
0.591314,8.283156,-4.043803
0.558961,8.357119,-4.055584
0.540514,8.330842,-4.127921
0.534229,8.386114,-4.156313
0.518797,8.426088,-4.201768
0.528993,8.456291,-4.256541
0.529923,8.508725,-4.298604
0.535505,8.470409,-4.261485
0.550499,8.398908,-4.255718
0.549292,8.364487,-4.274548
0.559107,8.395835,-4.305198
0.551189,8.413918,-4.339176
0.547593,8.430499,-4.379203
0.549991,8.417715,-4.400721
0.576064,8.389533,-4.401904
0.588764,8.398059,-4.464903
0.585952,8.404313,-4.507564
0.583468,8.393371,-4.547401
0.597201,8.377113,-4.593548
0.602555,8.377281,-4.622190
0.592355,8.449062,-4.726345
0.567168,8.490094,-4.825238
0.553541,8.538857,-4.912806
0.527831,8.565942,-4.994715
0.482083,8.549115,-5.070880
0.454005,8.596353,-5.177818
0.504699,8.509138,-5.034087
0.500897,8.505628,-5.100879
0.501626,8.495043,-4.952824
0.492612,8.500945,-4.970720
0.482263,8.469574,-5.011042
0.496109,8.491967,-4.890762
0.509244,8.462844,-4.886029
0.513855,8.448976,-4.907851
0.511200,8.445290,-4.958599
0.532310,8.421334,-4.925104
0.531211,8.413629,-4.923057
0.541057,8.403851,-4.904453
0.545107,8.365378,-4.888539
0.548759,8.339839,-4.869422
0.539492,8.323760,-4.878971
0.549017,8.265609,-4.825551
0.560943,8.261340,-4.783938
0.557907,8.273592,-4.784424
0.491752,8.318863,-5.002084
0.476339,8.329094,-5.012270
0.447517,8.383620,-5.107529
0.441427,8.398360,-5.118761
0.426420,8.426931,-5.131146
0.433752,8.390073,-5.131173
0.438977,8.373263,-5.161597
0.439376,8.394660,-5.096026
0.420842,8.391295,-5.186143
0.512130,8.301793,-4.939628
0.506973,8.306090,-4.962933
0.420467,8.526313,-5.034958
0.447973,8.429535,-5.015927
0.379619,8.541122,-5.126031
0.366745,8.579412,-5.155506
0.364059,8.586707,-5.141183
0.285522,8.709970,-5.309313
0.396047,8.505465,-5.138729
0.331272,8.620731,-5.247211
0.256684,8.749405,-5.340315
0.257155,8.728147,-5.363036
0.226203,8.768413,-5.442834
0.199573,8.806033,-5.451026
0.073884,8.937872,-5.757986
0.066407,8.963299,-5.781543
-0.089125,9.156601,-6.097981
-0.148407,9.223440,-6.223571
0.033677,9.071338,-5.759925
-0.099550,9.221834,-6.077910
-0.034734,9.159580,-5.853871
0.002287,9.128325,-5.788892
-0.022264,9.136537,-5.841916
0.014033,9.087938,-5.796462
0.144671,8.956132,-5.496763
0.001866,9.086011,-5.837614
0.151794,8.924606,-5.511587
0.164573,8.909836,-5.505332
0.094026,8.930541,-5.677655
0.094516,8.908600,-5.691918
0.170516,8.887782,-5.488255
0.206229,8.893276,-5.343455
0.220165,8.903606,-5.287137
0.302233,8.873841,-5.055315
0.289773,8.854063,-5.115272
0.247419,8.843058,-5.235750
0.220535,8.790991,-5.320892
0.192918,8.757194,-5.426408
0.336673,8.827298,-5.000312
0.368652,8.851211,-4.918490
0.370183,8.854163,-4.927896
0.341091,8.899937,-4.972340
0.324776,8.823515,-5.058716
0.323361,8.808502,-5.071217
0.315509,8.859009,-5.067018
0.305297,8.736115,-5.157043
0.292883,8.729914,-5.188791
0.249419,8.639656,-5.344126
0.224553,8.572810,-5.441330
0.198873,8.408900,-5.568577
0.160682,8.303516,-5.733395
0.130156,8.263480,-5.853060
0.217618,8.468406,-5.529562
0.138261,8.259318,-5.844865
0.131561,8.267185,-5.856502
0.170349,8.389712,-5.732162
0.287821,8.658007,-5.370365
0.209116,8.457021,-5.653933
0.290971,8.688556,-5.379075
0.360421,8.737901,-5.153826
0.416128,8.932548,-5.012043
0.398349,8.889411,-5.013862
0.380341,8.800016,-5.056860
0.355994,8.640149,-5.140999
0.337052,8.579422,-5.159167
0.324016,8.543125,-5.171532
0.287619,8.309034,-5.221609
0.244821,8.352020,-5.322597
0.268656,8.269883,-5.283895
0.259412,8.212214,-5.325502
