scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence
86,cloud000430.pcd,0.3385432784171023,-3.225602646462839,0.22188340060241277,-2.1873318514314724,-125.32488348155978,0.2709678248738979
87,cloud000435.pcd,0.27224975560133086,-3.3406404474609737,0.2314780535311107,-2.2102787368238817,-126.63964316751523,0.27113423434565753
88,cloud000440.pcd,0.16961529661393188,-3.4208140712099193,0.22941539688883425,-2.2233018308101498,-127.3858114891306,0.27067243916949896
89,cloud000445.pcd,0.1279287778935053,-3.3674697731154986,0.23175681535319329,-2.3321681057506276,-133.62338957453082,0.2712458411070411
90,cloud000450.pcd,0.1444361387349211,-3.2632867798005822,0.24300342683605441,-2.3250180437246635,-133.21372119718632,0.27190667591255685
91,cloud000455.pcd,0.1300707539587875,-3.415420497502092,0.2361011799361484,-2.255999258664663,-129.2592361061277,0.27155363498667073
92,cloud000460.pcd,0.1829726198561819,-3.2510582962545578,0.2541353749873876,-2.2263228944277484,-127.55890568405952,0.2712877438314304
93,cloud000465.pcd,0.11085328838780614,-3.282216339071179,0.2534497203823609,-2.1260153581886394,-121.81170720420302,0.26901499131297696
94,cloud000470.pcd,0.1664404161051686,-3.283825128085728,0.251677223080723,-2.111810477405584,-120.99782748684747,0.27185165034297304
95,cloud000475.pcd,0.12226078859254383,-3.1773986304905275,0.2554917696333974,-2.139532033452554,-122.58615564987421,0.270490740497057
96,cloud000480.pcd,0.0937878042666852,-3.232525246181167,0.24506362219343159,-2.1565621773279533,-123.56191101843515,0.27050469502505164
97,cloud000485.pcd,0.0023215180132315216,-3.3826354694228034,0.24502367525398375,-2.158365048026645,-123.665207900478,0.2685898596984733
98,cloud000490.pcd,-0.05598415625869162,-3.4969705767488297,0.25371636563040656,-2.191511153938582,-125.56433987652561,0.26926072359995096
99,cloud000495.pcd,-0.14659660365000216,-3.577977283939969,0.25082848678656355,-2.167307700962517,-124.17758417135373,0.2697634248210093
100,cloud000500.pcd,-0.18147385902570784,-3.634715512853958,0.2569911026635799,-2.1845452989533087,-125.16522578516928,0.2696537708256198
101,cloud000505.pcd,0.0232075160349354,-3.326588771462162,0.28015800934673174,-2.274163552766437,-130.29997349599373,0.2682093361426777
102,cloud000510.pcd,0.017912826271318738,-3.326244535962318,0.2817370945273085,-2.2477003173191443,-128.78374179260285,0.26912282165520346
103,cloud000515.pcd,0.030157323872888588,-3.3292444574149616,0.28579941905894923,-2.215659745279085,-126.9479522415226,0.26799043847565346
104,cloud000520.pcd,-0.14357063561258662,-3.9091941300712065,0.263945020368249,-2.2204199868272174,-127.22069399169341,0.2679056328632075
105,cloud000525.pcd,-0.09392220160217368,-3.971047795631924,0.2592477020158247,-2.2480182036588783,-128.80195533823448,0.2689878312114082
106,cloud000530.pcd,-0.11400361140393139,-4.020122481658775,0.26256971438064486,-2.2919730531950346,-131.3203827057888,0.2681550853572752
107,cloud000535.pcd,-0.041244666075543945,-4.0069608305201685,0.26440237555352086,-2.280563570351571,-130.66666749243143,0.2630008315628271
108,cloud000540.pcd,-0.13850844649588165,-4.1357738278759895,0.25733619814060416,-2.2261294497713595,-127.54782212167909,0.26750926231306893
109,cloud000545.pcd,-0.15032495981436805,-4.134806509722078,0.25592217605636886,-2.1591577308710104,-123.71062528195255,0.27035532374096694
110,cloud000550.pcd,-0.1382114460251119,-4.100426851129505,0.25060591425407724,-2.127677828746985,-121.90695975076099,0.2703360833453925
111,cloud000555.pcd,-0.0796964307522845,-4.082487531887113,0.2534178427750831,-2.10055007043265,-120.35265369169866,0.2705654857222636
112,cloud000560.pcd,-0.07319706190079497,-4.011722015205934,0.2604073316725587,-1.988735001342961,-113.94612214689577,0.2703084501279969
113,cloud000565.pcd,-0.13822446916084546,-4.1175121789790685,0.2610300692898051,-1.9834558327862588,-113.64364806925856,0.27056237899875
114,cloud000570.pcd,0.03679859988303444,-3.9939634832811466,0.26952740399107267,-2.006494621589018,-114.96367343274993,0.27065276822340734
115,cloud000575.pcd,0.17334179210558037,-4.085423225772009,0.2711841205017458,-2.0748210919284364,-118.87849181222441,0.2697460362050295
116,cloud000580.pcd,0.21380230065508474,-4.181808092530284,0.271100338440099,-2.132829186351056,-122.20211080023688,0.2708363085599804
