scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence,prediction_error,z_redistributed,vx,vy,vz,vyaw,pose_uncertainty,velocity_uncertainty,innovation_x,innovation_y,innovation_z,innovation_yaw,innovation_magnitude
25,cloud000125.pcd,1.505762055565908,-0.04383454464038158,0.0,-0.11947933674903619,-6.845661734742092,0.5356642670907901,1.798158959192345,True,0.0,0.0,0.0,0.0,0.00026685898681698774,40.0,1.7873561257275605,-0.19344301849236506,0.0,-0.03624252949816048,1.798158959192345
26,cloud000130.pcd,1.5750473515917771,-0.051149213220503725,0.0,-0.12081510100787997,-6.922195389198261,0.5334910950155493,1.8789813133644504,True,0.0,0.0,0.0,0.0,0.00025696236157692434,40.0,1.8682534200277343,-0.1972374425026665,0.0,-0.03601840921634802,1.8789813133644504
27,cloud000135.pcd,1.6390623172700118,-0.05895739922397307,0.0,-0.12289810236619063,-7.041542575749479,0.5291312352894701,2.013198208953932,True,0.0,0.0,0.0,0.0,0.000248726713286168,40.0,1.9973457123943748,-0.2436250128446111,0.0,-0.06499220592955583,2.013198208953932
28,cloud000140.pcd,1.7108631166653803,-0.06739753213735387,0.0,-0.1254118670494304,-7.185570682788158,0.5324742153072355,2.0763164842301105,True,0.0,0.0,0.0,0.0,0.0002400610761692428,40.0,2.0608729227313036,-0.24225414663784106,0.0,-0.0721516976611979,2.0763164842301105
29,cloud000145.pcd,1.7788909585625239,-0.07492818817282489,0.0,-0.1286127677375502,-7.368968782857944,0.53638947344691,2.109358883535066,True,0.0,0.0,0.0,0.0,0.00023226318404514658,40.0,2.094263003063479,-0.23183411209382887,0.0,-0.09854094589308404,2.109358883535066
30,cloud000150.pcd,1.8533373103091473,-0.08422569936174691,0.0,-0.13117498071500203,-7.515772772679582,0.542552807135359,2.2305169770361104,True,0.0,0.0,0.0,0.0,0.00022444632774208938,40.0,2.2120333379421844,-0.276258060029366,0.0,-0.07613134011349895,2.2305169770361104
31,cloud000155.pcd,1.9258491076759041,-0.09460577555376819,0.0,-0.13204413720065813,-7.5655717710441,0.5372301413637574,2.3377470902335062,True,0.0,0.0,0.0,0.0,0.00021741302978334665,40.0,2.3139936302523676,-0.33124858384607153,0.0,-0.027736487641150106,2.3377470902335062
32,cloud000160.pcd,1.9949842876832775,-0.10542381449887613,0.0,-0.1327044689872266,-7.603405995492806,0.5230582641010432,2.4064576958987303,True,0.0,0.0,0.0,0.0,0.0002110906794289309,40.0,2.3774210764384565,-0.37201080247550716,0.0,-0.022707494312774128,2.4064576958987303
33,cloud000165.pcd,2.06381315051193,-0.11673683026149691,0.0,-0.13339654004886312,-7.643058746447717,0.5239708380891631,2.5106498731438367,True,0.0,0.0,0.0,0.0,0.00020522574163790415,40.0,2.477286540724477,-0.40717775264590933,0.0,-0.02490900264450127,2.5106498731438367
34,cloud000170.pcd,2.1333034883797337,-0.12839210715157495,0.0,-0.13396429443133487,-7.675588676363405,0.5337170867200263,2.602272309280919,True,0.0,0.0,0.0,0.0,0.00019966872117920605,40.0,2.5663404090681294,-0.4304398133563237,0.0,-0.020967677793342604,2.602272309280919
